,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x,team_strength_rank,opponent_strength_rank,opponent_strength_overall,opponent_strength_attack,opponent_strength_defence
417,291,Alisson Ramses Becker,57,GKP,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
464,319,Allan Campbell,49,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
605,426,Allan Saint-Maximin,60,MID,Fulham,Newcastle,2024-04-06T14:00:00Z,False,Newcastle,6,11,1055,1050,1060
768,524,Alphonse Areola,42,GKP,Wolves,West Ham,2024-04-06T14:00:00Z,False,West Ham,10,14,1100,1085,1115
571,695,Altay Bayindir,40,GKP,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
538,371,Amad Diallo,44,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
619,738,Amadou Diallo,45,MID,Fulham,Newcastle,2024-04-06T14:00:00Z,False,Newcastle,6,11,1055,1050,1060
358,261,Amadou Onana,47,MID,Everton,Burnley,2024-04-06T14:00:00Z,True,Everton,15,19,1050,1050,1050
456,837,Amara Nallo,40,DEF,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
461,316,Amari'i Bell,39,DEF,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
208,157,Ameen Al-Dakhil,38,DEF,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
235,184,Anass Zaroury,46,MID,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
192,155,Andi Zeqiri,44,FWD,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
710,655,Andre Brooks,44,MID,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
379,267,Andreas Hoelgebaum Pereira,53,MID,Fulham,Newcastle,2024-04-06T14:00:00Z,True,Fulham,11,6,1280,1210,1355
670,711,Andrew Omobamidele,45,DEF,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,False,Nott'm Forest,17,5,1170,1110,1230
433,307,Andrew Robertson,64,DEF,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
254,186,Andrey Nascimento dos Santos,42,MID,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
498,727,Andros Townsend,50,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
566,597,André Onana,49,GKP,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
344,244,André Tavares Gomes,44,MID,Everton,Burnley,2024-04-06T14:00:00Z,True,Everton,15,19,1050,1050,1050
364,579,Andy Lonergan,39,GKP,Everton,Burnley,2024-04-06T14:00:00Z,True,Everton,15,19,1050,1050,1050
684,471,Anel Ahmedhodžić,43,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
788,577,Angelo Ogbonna,42,DEF,Wolves,West Ham,2024-04-06T14:00:00Z,False,West Ham,10,14,1100,1085,1115
704,587,Anis Slimane,47,MID,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
196,700,Anssumane Fati Vieira,64,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
627,378,Anthony Elanga,51,MID,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,False,Nott'm Forest,17,5,1170,1110,1230
591,412,Anthony Gordon,60,MID,Fulham,Newcastle,2024-04-06T14:00:00Z,False,Newcastle,6,11,1055,1050,1060
385,273,Anthony Knockaert,44,MID,Fulham,Newcastle,2024-04-06T14:00:00Z,True,Fulham,11,6,1280,1210,1355
555,390,Anthony Martial,64,FWD,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
99,82,Antoine Semenyo,45,FWD,Luton,Bournemouth,2024-04-06T14:00:00Z,False,Bournemouth,12,18,1055,1020,1090
395,283,Antonee Robinson,46,DEF,Fulham,Newcastle,2024-04-06T14:00:00Z,True,Fulham,11,6,1280,1210,1355
539,372,Antony Matheus dos Santos,68,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
711,656,Antwoine Hackford,44,FWD,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
476,331,Aribim Pepple,45,FWD,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
223,172,Arijanet Muric,43,GKP,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
377,193,Armando Broja,49,FWD,Fulham,Newcastle,2024-04-06T14:00:00Z,True,Fulham,11,6,1280,1210,1355
366,601,Arnaut Danjuma Groeneveld,52,MID,Everton,Burnley,2024-04-06T14:00:00Z,True,Everton,15,19,1050,1050,1050
759,702,Ashley Phillips,40,DEF,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
365,588,Ashley Young,44,DEF,Everton,Burnley,2024-04-06T14:00:00Z,True,Everton,15,19,1050,1050,1050
680,27,Auston Trusty,39,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
285,611,Axel Disasi,49,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
502,831,Axel Piesold,45,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
520,357,Aymeric Laporte,49,DEF,Crystal Palace,Man City,2024-04-06T11:30:00Z,False,Man City,1,16,1070,1080,1060
226,175,Bailey Peacock-Farrell,40,GKP,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
189,152,Bart Verbruggen,44,GKP,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
290,671,Bashir Humphreys,40,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
718,775,Ben Brereton,50,MID,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
262,195,Ben Chilwell,54,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
729,495,Ben Davies,43,DEF,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
442,628,Ben Doak,43,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
352,252,Ben Godfrey,43,DEF,Everton,Burnley,2024-04-06T14:00:00Z,True,Everton,15,19,1050,1050,1050
109,619,Ben Greenwood,40,DEF,Luton,Bournemouth,2024-04-06T14:00:00Z,False,Bournemouth,12,18,1055,1020,1090
199,746,Ben Jackson,40,DEF,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
780,536,Ben Johnson,44,DEF,Wolves,West Ham,2024-04-06T14:00:00Z,False,West Ham,10,14,1100,1085,1115
137,109,Ben Mee,48,DEF,Aston Villa,Brentford,2024-04-06T14:00:00Z,False,Brentford,13,4,1160,1140,1180
701,489,Ben Osborn,48,MID,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
620,739,Ben Parkinson,45,FWD,Fulham,Newcastle,2024-04-06T14:00:00Z,False,Newcastle,6,11,1055,1050,1060
96,79,Ben Pearson,45,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,False,Bournemouth,12,18,1055,1020,1090
802,547,Bendegúz Bolla,40,DEF,Wolves,West Ham,2024-04-06T14:00:00Z,True,Wolves,14,10,1145,1140,1150
198,742,Benicio Baker-Boaitey,45,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
160,834,Benjamin Arthur,40,DEF,Aston Villa,Brentford,2024-04-06T14:00:00Z,False,Brentford,13,4,1160,1140,1180
159,797,Benjamin Fredrick,40,DEF,Aston Villa,Brentford,2024-04-06T14:00:00Z,False,Brentford,13,4,1160,1140,1180
23,29,Benjamin White,58,DEF,Brighton,Arsenal,2024-04-06T16:30:00Z,False,Arsenal,2,9,1100,1070,1135
259,191,Benoît Badiashile,44,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
508,344,Bernardo Veiga de Carvalho e Silva,62,MID,Crystal Palace,Man City,2024-04-06T11:30:00Z,False,Man City,1,16,1070,1080,1060
387,275,Bernd Leno,48,GKP,Fulham,Newcastle,2024-04-06T14:00:00Z,True,Fulham,11,6,1280,1210,1355
63,59,Bertrand Traoré,50,MID,Aston Villa,Brentford,2024-04-06T14:00:00Z,True,Aston Villa,4,13,1100,1055,1150
720,822,Billy Blacker,45,FWD,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
171,133,Billy Gilmour,48,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
441,627,Bobby Clark,44,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
382,270,Bobby De Cordova-Reid,53,MID,Fulham,Newcastle,2024-04-06T14:00:00Z,True,Fulham,11,6,1280,1210,1355
230,179,Bobby Thomas,40,DEF,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
52,47,Boubacar Kamara,50,MID,Aston Villa,Brentford,2024-04-06T14:00:00Z,True,Aston Villa,4,13,1100,1055,1150
826,574,Boubacar Traoré,43,MID,Wolves,West Ham,2024-04-06T14:00:00Z,True,Wolves,14,10,1145,1140,1150
33,737,Bradley Ibrahim,45,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,False,Arsenal,2,9,1100,1070,1135
652,459,Braian Ojeda Rodríguez,45,MID,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,False,Nott'm Forest,17,5,1170,1110,1230
628,434,Brandon Aguilera Zamora,45,MID,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,False,Nott'm Forest,17,5,1170,1110,1230
725,491,Brandon Austin,39,GKP,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
541,374,Brandon Williams,40,DEF,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
724,450,Brennan Johnson,58,MID,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
540,373,Bruno Borges Fernandes,82,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
814,561,Bruno Cavaco Jordão,43,MID,Wolves,West Ham,2024-04-06T14:00:00Z,True,Wolves,14,10,1145,1140,1150
585,406,Bruno Guimarães Rodriguez Moura,58,MID,Fulham,Newcastle,2024-04-06T14:00:00Z,False,Newcastle,6,11,1055,1050,1060
728,494,Bryan Gil Salvatierra,49,MID,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
136,108,Bryan Mbeumo,67,MID,Aston Villa,Brentford,2024-04-06T14:00:00Z,False,Brentford,13,4,1160,1140,1180
17,19,Bukayo Saka,90,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,False,Arsenal,2,9,1100,1070,1135
706,593,Bénie Traoré,51,FWD,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
217,166,CJ Egan-Riley,39,DEF,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
626,205,Callum Hudson-Odoi,47,MID,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,False,Nott'm Forest,17,5,1170,1110,1230
797,785,Callum Marshall,45,FWD,Wolves,West Ham,2024-04-06T14:00:00Z,False,West Ham,10,14,1100,1085,1115
447,728,Callum Scanlon,39,DEF,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
612,433,Callum Wilson,78,FWD,Fulham,Newcastle,2024-04-06T14:00:00Z,False,Newcastle,6,11,1055,1050,1060
42,37,Calum Chambers,38,DEF,Aston Villa,Brentford,2024-04-06T14:00:00Z,True,Aston Villa,4,13,1100,1055,1150
403,610,Calvin Bassey,44,DEF,Fulham,Newcastle,2024-04-06T14:00:00Z,True,Fulham,11,6,1280,1210,1355
681,33,Cameron Archer,42,FWD,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
203,786,Cameron Peupion,45,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
427,301,Caoimhin Kelleher,39,GKP,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
195,690,Carlos Baleba,45,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
543,376,Carlos Henrique Casimiro,53,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
470,325,Carlos Mendes Gomes,45,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
399,287,Carlos Vinícius Alves Morais,45,FWD,Fulham,Newcastle,2024-04-06T14:00:00Z,True,Fulham,11,6,1280,1210,1355
471,326,Carlton Morris,50,FWD,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
263,196,Carney Chukwuemeka,42,MID,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
485,340,Cauley Woodrow,43,FWD,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
300,791,Cesare Casadei,45,MID,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
31,735,Charles Sagoe,45,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,False,Arsenal,2,9,1100,1070,1135
130,102,Charlie Goode,39,DEF,Aston Villa,Brentford,2024-04-06T14:00:00Z,False,Brentford,13,4,1160,1140,1180
229,178,Charlie Taylor,39,DEF,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
310,223,Cheick Doucouré,49,MID,Crystal Palace,Man City,2024-04-06T11:30:00Z,True,Crystal Palace,16,1,1365,1360,1370
644,451,Cheikhou Kouyaté,48,MID,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,False,Nott'm Forest,17,5,1170,1110,1230
473,328,Chiedozie Ogbene,49,FWD,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
687,474,Chris Basham,39,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
92,75,Chris Mepham,43,DEF,Luton,Bournemouth,2024-04-06T14:00:00Z,False,Bournemouth,12,18,1055,1020,1090
325,238,Chris Richards,39,DEF,Crystal Palace,Man City,2024-04-06T11:30:00Z,True,Crystal Palace,16,1,1365,1360,1370
661,468,Chris Wood,48,FWD,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,False,Nott'm Forest,17,5,1170,1110,1230
504,844,Christian Chigozie,40,DEF,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
545,379,Christian Eriksen,58,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
138,110,Christian Nørgaard,52,MID,Aston Villa,Brentford,2024-04-06T14:00:00Z,False,Brentford,13,4,1160,1140,1180
276,213,Christian Pulisic,55,MID,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
275,212,Christopher Nkunku,72,FWD,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
72,699,Clément Lenglet,45,DEF,Aston Villa,Brentford,2024-04-06T14:00:00Z,True,Aston Villa,4,13,1100,1055,1150
423,297,Cody Gakpo,72,FWD,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
282,362,Cole Palmer,59,MID,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
227,176,Connor Roberts,43,DEF,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
450,757,Conor Bradley,43,DEF,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
773,529,Conor Coventry,43,MID,Wolves,West Ham,2024-04-06T14:00:00Z,False,West Ham,10,14,1100,1085,1115
268,202,Conor Gallagher,54,MID,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
806,551,Craig Dawson,45,DEF,Wolves,West Ham,2024-04-06T14:00:00Z,True,Wolves,14,10,1145,1140,1150
744,511,Cristian Romero,52,DEF,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
426,300,Curtis Jones,49,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
1,2,Cédric Alves Soares,38,DEF,Brighton,Arsenal,2024-04-06T16:30:00Z,False,Arsenal,2,9,1100,1070,1135
257,189,César Azpilicueta,45,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
501,798,Daiki Hashioka,40,DEF,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
586,407,Dan Burn,44,DEF,Fulham,Newcastle,2024-04-06T14:00:00Z,False,Newcastle,6,11,1055,1050,1060
478,333,Dan Potts,39,DEF,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
757,640,Dane Scarlett,45,FWD,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
95,78,Dango Ouattara,47,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,False,Bournemouth,12,18,1055,1020,1090
801,546,Daniel Bentley,39,GKP,Wolves,West Ham,2024-04-06T14:00:00Z,True,Wolves,14,10,1145,1140,1150
820,568,Daniel Castelo Podence,53,MID,Wolves,West Ham,2024-04-06T14:00:00Z,True,Wolves,14,10,1145,1140,1150
570,685,Daniel Gore,45,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
695,483,Daniel Jebbison,48,FWD,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
339,792,Daniel Muñoz,45,DEF,Crystal Palace,Man City,2024-04-06T11:30:00Z,True,Crystal Palace,16,1,1365,1360,1370
636,442,Danilo dos Santos de Oliveira,53,MID,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,False,Nott'm Forest,17,5,1170,1110,1230
779,535,Danny Ings,56,FWD,Wolves,West Ham,2024-04-06T14:00:00Z,False,West Ham,10,14,1100,1085,1115
191,154,Danny Welbeck,57,FWD,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
215,164,Dara Costelloe,45,MID,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
224,173,Dara O'Shea,44,DEF,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
213,162,Darko Churlinov,44,MID,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
97,80,Darren Randolph,40,GKP,Luton,Bournemouth,2024-04-06T14:00:00Z,False,Bournemouth,12,18,1055,1020,1090
419,293,Darwin Núñez Ribeiro,76,FWD,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
81,64,David Brooks,47,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,False,Bournemouth,12,18,1055,1020,1090
236,200,David Datro Fofana,50,FWD,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
336,721,David Ozoh,45,MID,Crystal Palace,Man City,2024-04-06T11:30:00Z,True,Crystal Palace,16,1,1365,1360,1370
26,113,David Raya Martin,51,GKP,Brighton,Arsenal,2024-04-06T16:30:00Z,False,Arsenal,2,9,1100,1070,1135
745,512,Davinson Sánchez,44,DEF,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
331,385,Dean Henderson,44,GKP,Crystal Palace,Man City,2024-04-06T11:30:00Z,True,Crystal Palace,16,1,1365,1360,1370
27,540,Declan Rice,55,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,False,Arsenal,2,9,1100,1070,1135
291,677,Deivid Washington de Souza Eugênio,45,FWD,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
735,501,Dejan Kulusevski,68,MID,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
348,248,Dele Alli,48,MID,Everton,Burnley,2024-04-06T14:00:00Z,True,Everton,15,19,1050,1050,1050
353,253,Demarai Gray,53,MID,Everton,Burnley,2024-04-06T14:00:00Z,True,Everton,15,19,1050,1050,1050
220,169,Denis Franchi,39,GKP,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
186,149,Deniz Undav,55,FWD,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
579,835,Dermot Mee,40,GKP,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
752,519,Destiny Udogie,50,DEF,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
675,780,Detlef Esapa Osong,45,FWD,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,False,Nott'm Forest,17,5,1170,1110,1230
412,732,Devan Tanton,40,DEF,Fulham,Newcastle,2024-04-06T14:00:00Z,True,Fulham,11,6,1280,1210,1355
46,41,Diego Carlos Santos Silva,44,DEF,Aston Villa,Brentford,2024-04-06T14:00:00Z,True,Aston Villa,4,13,1100,1055,1150
293,681,Diego Manuel Jadon da Silva Moreira,45,MID,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
